SUBJECT,START DATE,END DATE
REACT 6: Работа со стилями. Хук useState  190925-wdm,2.2.2026 09:00,2.2.2026 12:15
REACT 7: Практикум  190925-wdm,2.2.2026 12:30,2.2.2026 14:00
Web Engineering 4: Типы данных. Особенности работы с датой и временем  190925-wdm,3.2.2026 09:00,3.2.2026 12:15
German: Техникум 3  190925-wdm,3.2.2026 14:30,3.2.2026 16:00
REACT 8: События в React  190925-wdm,4.2.2026 09:00,4.2.2026 12:15
REACT 9: Практикум  190925-wdm,4.2.2026 12:30,4.2.2026 14:00
Web Engineering 5: Создание и изменение таблиц. Ограничения. Представления View  190925-wdm,5.2.2026 09:00,5.2.2026 12:15
REACT 10: Summary session 2  190925-wdm,6.2.2026 09:00,6.2.2026 12:15
Web Engineering 6: Summary session 2  190925-wdm,6.2.2026 12:30,6.2.2026 14:00
REACT 11: Верстка сайта с React, работа с Figma и создание компонентов по макету  190925-wdm,9.2.2026 09:00,9.2.2026 12:15
REACT 12: Практикум  190925-wdm,9.2.2026 12:30,9.2.2026 14:00
Web Engineering 7: Агрегирующие функции. Оператор Group BY. Фильтрация агрегированных данных. Having  190925-wdm,10.2.2026 09:00,10.2.2026 12:15
German: Техникум 4  190925-wdm,10.2.2026 14:30,10.2.2026 16:00
REACT 13: Жизненные циклы компонентов. Хук useEffect. Работа с axios  190925-wdm,11.2.2026 09:00,11.2.2026 12:15
REACT 14: Практикум  190925-wdm,11.2.2026 12:30,11.2.2026 14:00
Web Engineering 8: Join и другие типы join  190925-wdm,12.2.2026 09:00,12.2.2026 12:15
REACT 15: Summary session 3  190925-wdm,13.2.2026 09:00,13.2.2026 12:15
Web Engineering 9: Summary session 3  190925-wdm,13.2.2026 12:30,13.2.2026 14:00
REACT 16: useContext  190925-wdm,16.2.2026 09:00,16.2.2026 12:15
REACT 17: Практикум  190925-wdm,16.2.2026 12:30,16.2.2026 14:00
Web Engineering 10: Агрегация и группировка  190925-wdm,17.2.2026 09:00,17.2.2026 12:15
German: Техникум 5  190925-wdm,17.2.2026 14:30,17.2.2026 16:00
REACT 18: React Developer Tools, eslinter  190925-wdm,18.2.2026 09:00,18.2.2026 12:15
REACT 19: Практикум  190925-wdm,18.2.2026 12:30,18.2.2026 14:00
Web Engineering 11: Отработка join, агрегации и группировки  190925-wdm,19.2.2026 09:00,19.2.2026 12:15
REACT 20: Summary session 4  190925-wdm,20.2.2026 09:00,20.2.2026 12:15
Web Engineering 12: Summary session 4  190925-wdm,20.2.2026 12:30,20.2.2026 14:00
REACT 21: Хук useForm  190925-wdm,23.2.2026 09:00,23.2.2026 12:15
REACT 22: Практикум  190925-wdm,23.2.2026 12:30,23.2.2026 14:00
Web Engineering 13: Работа со временем  190925-wdm,24.2.2026 09:00,24.2.2026 12:15
